127.0.0.1 - - [24/Jun/2020:00:13:27 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:13:39 +0800] "POST /apeman_store/index?flag=1&num=1&lun=6&date=2020-06-24 HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:13:56 +0800] "GET /apeman_store/lib/axios.min.map HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:13:56 +0800] "GET /apeman_store/lib/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/details.html?id=GldrnfbyW1ey2t75 HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/css/details.css HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/js/details.js HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "POST /apeman_store/details?flag=1&id=GldrnfbyW1ey2t75 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/HTML/images/GldrnfbyW1ey2t752.jpg HTTP/1.1" 200 316343
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/HTML/images/GldrnfbyW1ey2t751.jpg HTTP/1.1" 200 227628
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/HTML/images/GldrnfbyW1ey2t753.jpg HTTP/1.1" 200 1157160
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:09 +0800] "GET /apeman_store/HTML/images/GldrnfbyW1ey2t750.jpg HTTP/1.1" 200 219620
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:11 +0800] "POST /apeman_store/index?flag=1&num=1&lun=6&date=2020-06-24 HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:12 +0800] "POST /apeman_store/index?flag=2&title=%E6%8A%A4%E8%82%A4%E5%93%81&num=1 HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:13 +0800] "POST /apeman_store/index?flag=2&title=%E9%9B%B6%E9%A3%9F&num=1 HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:14:13 +0800] "POST /apeman_store/index?flag=2&title=%E9%9E%8B%E5%AD%90&num=1 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:37 +0800] "POST /apeman_store/login?username=root&password=root&id=2 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:37 +0800] "POST /apeman_store/cle?flag=num&username=root HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:37 +0800] "GET /apeman_store/index.html HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:37 +0800] "POST /apeman_store/index?flag=1&num=1&lun=6&date=2020-06-24 HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:40 +0800] "GET /apeman_store/goods.html HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:40 +0800] "GET /apeman_store/css/goods.css HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:40 +0800] "GET /apeman_store/js/goods.js HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:40 +0800] "POST /apeman_store/cle?flag=num&username=root HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:40 +0800] "GET /apeman_store/images/index/kong.gif HTTP/1.1" 200 73032
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:40 +0800] "POST /apeman_store/good?flag=1&username=root HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:53 +0800] "GET /apeman_store/car.html HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:53 +0800] "GET /apeman_store/js/car.js HTTP/1.1" 200 6175
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:53 +0800] "GET /apeman_store/css/car.css HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:18:53 +0800] "POST /apeman_store/cle?flag=1&username=root HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:04 +0800] "GET /apeman_store/tickling.html HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:04 +0800] "GET /apeman_store/css/tickling.css HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:04 +0800] "GET /apeman_store/js/tickling.js HTTP/1.1" 200 5107
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:04 +0800] "GET /apeman_store/remark?num=0&flag=1 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:04 +0800] "GET /apeman_store/images/head/root.jpg HTTP/1.1" 200 25146
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:24 +0800] "POST /apeman_store/index?flag=1&num=1&lun=6&date=2020-06-24 HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:26 +0800] "GET /apeman_store/remark?num=0&flag=1 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:27 +0800] "POST /apeman_store/cle?flag=num&username=root HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:27 +0800] "POST /apeman_store/good?flag=1&username=root HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:28 +0800] "GET /apeman_store/perfect.html HTTP/1.1" 200 2293
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:28 +0800] "GET /apeman_store/css/perfect.css HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:19:28 +0800] "GET /apeman_store/js/perfect.js HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [24/Jun/2020:00:24:33 +0800] "POST /wx/Index HTTP/1.1" 404 1080
